samp_num,pot_id,trt,pot_id_red,height_d04,height_d06,height_d09,height_d12,height_d15,height_d18,height_d21,height_d24,height_d27,height_d02,dry_weight_d27,chloro_d27
1,c.b.W22.Tri.01,b,b.01,0.7,4.7,9.2,15.9,20,25.8,27.6,30,34.1,0,0.508,29.1
2,c.b.W22.Tri.02,b,b.02,1.4,5.3,11.3,17.3,22.9,25.2,28.2,31.2,38,0,0.7,30.4
3,c.b.W22.Tri.03,b,b.03,1.2,4.6,9.1,15.7,19.8,24.1,27.1,27.8,31.1,0,0.523,28.6
4,c.b.W22.Tri.04,b,b.04,1.2,6.4,11.9,17.8,20.8,25.1,27.1,29.6,33.3,0,0.578,29.2
5,c.b.W22.Tri.05,b,b.05,1.1,5.2,10.9,19.3,24.1,28.9,30.2,33.2,35.5,0,0.694,32.6
6,c.b.W22.Tri.06,b,b.06,1.6,5.9,10.2,16.8,20.9,25.5,27.4,31.4,34.9,0,0.657,33.3
7,c.b.W22.Tri.07,b,b.07,1.6,5.2,10.6,17.7,23.6,27.8,29.4,32.1,34.6,0,0.62,33.2
8,c.b.W22.Tri.08,b,b.08,2,5.1,9,16,21,25.1,26.7,27,29.3,0,0.437,28.6
9,c.b.W22.Tri.09,b,b.09,0.3,5.4,10.6,17.4,21.4,25.3,26.5,32.4,39.1,0,0.728,36.1
10,c.b.W22.Tri.10,b,b.10,1.7,4.6,9.4,18.9,24.2,26.7,31.2,33.4,35.7,0,0.654,31.3
11,c.b.W22.Tri.11,b,b.11,1.5,5.6,12.3,19.2,24.5,27.2,28.4,31.5,33.8,0,0.659,29.9
12,c.b.W22.Tri.12,b,b.12,1.6,7.4,13.4,18.8,23.1,26,27.8,31.4,38.1,0,0.701,35.4
13,c.W.W22.Tri.01,W,W.01,0.7,5.4,11.2,17.4,19.6,24.8,26.4,31.2,39.7,0,0.6174,35.4
14,c.W.W22.Tri.02,W,W.02,1.1,5.8,11.4,19.4,25.3,29.6,31.2,35.8,40,0,0.676,38.5
15,c.W.W22.Tri.03,W,W.03,1.3,4.5,9.8,16.6,24.4,27.8,32.6,36.1,41.7,0,0.697,35.2
16,c.W.W22.Tri.04,W,W.04,2.1,6.4,13.2,20.9,26.9,30.2,31.3,35.1,40.7,0,0.752,36.7
17,c.W.W22.Tri.05,W,W.05,2.4,6,12.9,20.1,27.8,30.7,35.4,38.3,43.6,0,1.014,38.2
18,c.W.W22.Tri.06,W,W.06,1.2,5.4,9.3,16.9,22.1,28.7,30.5,36.2,40.4,0,0.574,34.3
19,c.W.W22.Tri.07,W,W.07,1.2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
20,c.W.W22.Tri.08,W,W.08,1.4,4.9,10.5,18.5,23,28.6,30.9,34.7,39.2,0,0.748,32
21,c.W.W22.Tri.09,W,W.09,1.5,5.9,12.2,18.8,22.4,27.3,28.9,33,40.7,0,0.746,31.1
22,c.W.W22.Tri.10,W,W.10,1.6,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
23,c.W.W22.Tri.11,W,W.11,1.9,7.2,12.3,19.1,25.5,29.5,31,35,37.8,0,0.682,33.5
24,c.W.W22.Tri.12,W,W.12,1,4.3,10.4,18.4,23.6,28.6,29.9,33,38.5,0,0.709,37
