precrop,maize_line,trt,complementation,rep,pot_id,chloro_harvest,height_harvest,dw_harvest,dw_root_harvest
Tri,W22,b,yes,1,Tri.W22.b.BX.01,35.4,38.4,0.904,0.584
Tri,W22,b,yes,2,Tri.W22.b.BX.02,NA,NA,NA,NA
Tri,W22,b,yes,3,Tri.W22.b.BX.03,31.2,42.2,0.955,0.449
Tri,W22,b,yes,4,Tri.W22.b.BX.04,30.3,35.4,0.791,0.508
Tri,W22,b,yes,5,Tri.W22.b.BX.05,30.4,41,0.624,0.499
Tri,W22,b,yes,6,Tri.W22.b.BX.06,32.3,33.9,0.488,0.327
Tri,W22,b,yes,7,Tri.W22.b.BX.07,28,40.1,1.011,0.668
Tri,W22,b,yes,8,Tri.W22.b.BX.08,NA,NA,NA,NA
Tri,W22,b,yes,9,Tri.W22.b.BX.09,29.9,41.6,1.011,0.389
Tri,W22,b,yes,10,Tri.W22.b.BX.10,26.8,43.8,0.965,0.45
Tri,W22,b,yes,11,Tri.W22.b.BX.11,28.4,42.2,1.234,0.611
Tri,W22,b,yes,12,Tri.W22.b.BX.12,36,39.9,0.678,0.423
Tri,W22,b,yes,13,Tri.W22.b.BX.13,31.5,39.6,0.965,0.485
Tri,W22,b,yes,14,Tri.W22.b.BX.14,NA,NA,NA,NA
Tri,W22,b,no,1,Tri.W22.b.no.01,31.6,41.3,0.837,0.654
Tri,W22,b,no,2,Tri.W22.b.no.02,28,40.9,0.901,0.494
Tri,W22,b,no,3,Tri.W22.b.no.03,27.3,40.6,0.863,0.434
Tri,W22,b,no,4,Tri.W22.b.no.04,25.3,35.7,0.449,0.235
Tri,W22,b,no,5,Tri.W22.b.no.05,29.6,36.4,0.615,0.396
Tri,W22,b,no,6,Tri.W22.b.no.06,19,38,0.621,0.355
Tri,W22,b,no,7,Tri.W22.b.no.07,23.8,43.1,0.688,0.471
Tri,W22,b,no,8,Tri.W22.b.no.08,26.5,41,0.933,0.531
Tri,W22,b,no,9,Tri.W22.b.no.09,25.5,41.2,1.016,0.525
Tri,W22,b,no,10,Tri.W22.b.no.10,22.4,38.3,0.473,0.373
Tri,W22,b,no,11,Tri.W22.b.no.11,25.2,39.1,0.904,0.583
Tri,W22,b,no,12,Tri.W22.b.no.12,26.8,44.8,0.787,0.368
Tri,W22,b,no,13,Tri.W22.b.no.13,24,33.9,0.483,0.346
Tri,W22,b,no,14,Tri.W22.b.no.14,NA,NA,NA,NA
Tri,W22,W,no,1,Tri.W22.W.no.01,33.8,47.8,1.341,0.948
Tri,W22,W,no,2,Tri.W22.W.no.02,27.9,43.9,1.19,0.801
Tri,W22,W,no,3,Tri.W22.W.no.03,NA,NA,NA,NA
Tri,W22,W,no,4,Tri.W22.W.no.04,35.6,45.3,0.941,0.733
Tri,W22,W,no,5,Tri.W22.W.no.05,32.2,45.9,0.968,0.567
Tri,W22,W,no,6,Tri.W22.W.no.06,28.6,39.9,0.743,0.555
Tri,W22,W,no,7,Tri.W22.W.no.07,28.6,42.7,0.825,0.504
Tri,W22,W,no,8,Tri.W22.W.no.08,NA,NA,NA,NA
Tri,W22,W,no,9,Tri.W22.W.no.09,30.6,43.4,0.6,0.314
Tri,W22,W,no,10,Tri.W22.W.no.10,28.9,44,1.234,0.704
Tri,W22,W,no,11,Tri.W22.W.no.11,22.8,41.5,0.767,0.594
Tri,W22,W,no,12,Tri.W22.W.no.12,27,45.5,1.139,0.564
Tri,W22,W,no,13,Tri.W22.W.no.13,31.4,46.8,0.991,0.587
Tri,W22,W,no,14,Tri.W22.W.no.14,NA,NA,NA,NA
