"sample_id","precrop","dw_precrop"
"Tri_001","Tri",4.02
"Tri_002","Tri",4.12
"Tri_003","Tri",4.22
"Tri_004","Tri",2.8
"Tri_005","Tri",3.53
"Tri_006","Tri",3.16
"Tri_007","Tri",2.99
"Tri_008","Tri",4.63
"Tri_009","Tri",3.58
"Tri_010","Tri",3.47
"Tri_011","Tri",3.83
"Tri_012","Tri",3.19
"Tri_013","Tri",4.45
"Tri_014","Tri",3.91
"Tri_015","Tri",4.07
"Tri_016","Tri",3.34
"Tri_017","Tri",4.7
"Tri_018","Tri",3.2
"Tri_019","Tri",3.53
"Tri_020","Tri",3.3
"Tri_021","Tri",3.18
"Tri_022","Tri",3.36
"Tri_023","Tri",3.41
"Tri_024","Tri",3.15
"Tri_025","Tri",3.84
"Tri_026","Tri",3.62
"Tri_027","Tri",3.7
"Tri_028","Tri",3.14
"Tri_029","Tri",3.49
"Tri_030","Tri",2.78
"Tri_031","Tri",3.64
"Tri_032","Tri",3.76
"Tri_033","Tri",3.36
"Tri_034","Tri",3.74
"Tri_035","Tri",3.44
"Tri_036","Tri",3.8
"Tri_037","Tri",3.89
"Tri_038","Tri",3.24
"Tri_039","Tri",4.33
"Tri_040","Tri",3.84
"Tri_041","Tri",2.74
"Tri_042","Tri",3.28
"Tri_043","Tri",3.61
"Tri_044","Tri",3.46
"Tri_045","Tri",2.89
"Tri_046","Tri",3.38
"Tri_047","Tri",3.72
"Tri_048","Tri",4.1
"Tri_049","Tri",3.68
"Tri_050","Tri",3.54
"Tri_051","Tri",3.19
"Tri_052","Tri",3.56
"Tri_053","Tri",3.84
"Tri_054","Tri",3.92
"Tri_055","Tri",3.32
"Tri_056","Tri",3.89
"Tri_057","Tri",3.71
"Tri_058","Tri",4.1
"Tri_059","Tri",3.15
"Tri_060","Tri",3.75
"Tri_061","Tri",3.61
"Tri_062","Tri",3.25
"Tri_063","Tri",3.29
"Tri_064","Tri",3.07
"Tri_065","Tri",3.5
"Tri_066","Tri",3.67
"Tri_067","Tri",3.41
"Tri_068","Tri",3.62
"Tri_069","Tri",3.37
"Tri_070","Tri",3.37
"Tri_071","Tri",3.55
"Tri_072","Tri",4.22
"Tri_073","Tri",5.18
"Tri_074","Tri",3.84
"Tri_075","Tri",3.31
"Tri_076","Tri",4.09
"Tri_077","Tri",4.9
"Tri_078","Tri",3.37
"Tri_079","Tri",3.99
"Tri_080","Tri",3.63
"Tri_081","Tri",5.15
"Tri_082","Tri",3.78
"Tri_083","Tri",3.58
"Tri_084","Tri",3.84
"Tri_085","Tri",3.91
"Tri_086","Tri",3.51
"Tri_087","Tri",4.22
"Tri_088","Tri",3.48
"Tri_089","Tri",2.56
"Tri_090","Tri",3.28
"Tri_091","Tri",3.86
"Tri_092","Tri",4.16
"Tri_093","Tri",3.87
"Tri_094","Tri",3.55
"Tri_095","Tri",3.38
"Tri_096","Tri",3.94
"Tri_097","Tri",3.34
"Tri_098","Tri",3.86
"Tri_099","Tri",4.29
"Tri_100","Tri",4.35
"Tri_101","Tri",4.19
"Tri_102","Tri",3.73
"Tri_103","Tri",3.9
"Tri_104","Tri",4.33
"Tri_105","Tri",4.54
"Tri_106","Tri",3.65
"Tri_107","Tri",3.09
"Tri_108","Tri",2.93
"Tri_109","Tri",3.83
"Tri_110","Tri",3.57
"Med_001","Med",2.22
"Med_002","Med",3.88
"Med_003","Med",2.33
"Med_004","Med",2.71
"Med_005","Med",2.85
"Med_006","Med",2.52
"Med_007","Med",2.27
"Med_008","Med",3.56
"Med_009","Med",3.06
"Med_010","Med",3.03
"Med_011","Med",2.64
"Med_012","Med",2.64
"Med_013","Med",2.95
"Med_014","Med",3.15
"Med_015","Med",2.23
"Med_016","Med",3.05
"Med_017","Med",2.14
"Med_018","Med",2.24
"Med_019","Med",2.44
"Med_020","Med",2.41
"Med_021","Med",2.09
"Med_022","Med",2.56
"Med_023","Med",2.59
"Med_024","Med",2.9
"Med_025","Med",2.85
"Med_026","Med",2.58
"Med_027","Med",3.47
"Med_028","Med",2.76
"Med_029","Med",3.01
"Med_030","Med",2.23
"Med_031","Med",2.25
"Med_032","Med",2.98
"Med_033","Med",3.25
"Med_034","Med",2.8
"Med_035","Med",3.13
"Med_036","Med",2.27
"Med_037","Med",2.65
"Med_038","Med",1.86
"Med_039","Med",2.98
"Med_040","Med",2.74
"Med_041","Med",2.05
"Med_042","Med",2.19
"Med_043","Med",3.19
"Med_044","Med",2.1
"Med_045","Med",2.5
"Med_046","Med",2.49
"Med_047","Med",2.36
"Med_048","Med",3.59
"Med_049","Med",3.25
"Med_050","Med",2.6
"Med_051","Med",2.08
"Med_052","Med",2.51
"Med_053","Med",2.59
"Med_054","Med",1.99
"Med_055","Med",2.43
"Med_056","Med",2.02
"Med_057","Med",2.88
"Med_058","Med",2.66
"Med_059","Med",3.24
"Med_060","Med",1.83
"Med_061","Med",3.07
"Med_062","Med",1.65
"Med_063","Med",3.03
"Med_064","Med",2.69
"Med_065","Med",2.69
"Med_066","Med",2.64
"Med_067","Med",2.66
"Med_068","Med",2.65
"Med_069","Med",3.19
"Med_070","Med",2.59
"Med_071","Med",3.21
"Med_072","Med",2.41
"Med_073","Med",2.17
"Med_074","Med",2.07
"Med_075","Med",2.81
"Med_076","Med",2.52
"Med_077","Med",2.69
"Med_078","Med",2.63
"Med_079","Med",3.04
"Med_080","Med",2.5
"Med_081","Med",2.82
"Med_082","Med",3.26
"Med_083","Med",2.63
"Med_084","Med",3.65
"Med_085","Med",2.45
"Med_086","Med",3.3
"Med_087","Med",2.17
"Med_088","Med",2.52
"Med_089","Med",2.32
"Med_090","Med",2.54
"Med_091","Med",2.65
"Med_092","Med",2.49
"Med_093","Med",2.45
"Med_094","Med",2.86
"Med_095","Med",2.39
"Med_096","Med",3.28
"Med_097","Med",2.86
"Med_098","Med",2.69
"Med_099","Med",2.13
"Med_100","Med",2.24
"Med_101","Med",1.6
"Med_102","Med",3.52
"Med_103","Med",2.85
"Med_104","Med",2.92
"Med_105","Med",3.59
"Med_106","Med",2.73
"Med_107","Med",1.65
"Med_108","Med",2.54
"Med_109","Med",2.45
